codigo_municipio;nome_municipio;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
3100104;Abadia dos Dourados (MG);6659;8901;11262;11470;12743;16157;19307;20140;20587;26214;27977;36810;40741;42402;50704;33304;31476
3100203;Abaeté (MG);15259;19137;22992;23062;22519;29851;42422;31918;31883;38658;35028;44696;49993;45170;113998;96146;98806
3100302;Abre Campo (MG);13217;11745;13107;16912;16159;14940;16384;18405;20715;35298;28391;22897;27317;36432;43850;30077;26828
3100401;Acaiaca (MG);1111;1484;1694;1550;1534;1790;2398;2790;2822;3155;2977;3381;3211;2410;3845;2519;2086
3100500;Açucena (MG);5253;5844;5885;7081;9160;6554;7394;8848;7559;10758;8192;12229;16057;13098;17131;15239;10667
3100609;Água Boa (MG);11188;14363;16652;17796;14547;18211;20694;22354;19359;25995;24336;30648;27301;29315;34774;29944;28643
3100708;Água Comprida (MG);12851;21409;28648;22096;28364;26226;25657;35160;43435;74312;63031;66433;51906;42310;79044;74570;75213
3100807;Aguanil (MG);3592;4233;5707;5801;6804;6774;5932;6291;6923;14069;11412;10295;10821;10779;22176;15318;11611
3100906;Águas Formosas (MG);4042;5097;6460;6227;6528;7329;8394;8651;7769;8381;8532;10339;11378;10864;13075;11265;9736
3101003;Águas Vermelhas (MG);32023;18825;12793;14663;7200;8221;9194;21679;23749;22694;110481;13410;17747;15476;21412;48131;50041
3101102;Aimorés (MG);12189;16313;20800;20674;17683;22647;24945;29794;25323;35322;47265;40823;45355;39094;44814;40910;30209
3101201;Aiuruoca (MG);4281;4830;6142;5823;5637;7510;8414;8488;8385;9674;10567;17171;15409;15994;31768;18004;16027
3101300;Alagoa (MG);1485;1804;2078;2563;2892;4395;3800;4165;4379;3655;4253;5008;5777;4520;5050;6253;5571
3101409;Albertina (MG);1768;1496;2998;3643;4243;4042;5029;4207;4000;8338;8974;5516;8485;8630;8059;9280;5947
3101508;Além Paraíba (MG);3944;4902;5660;5538;5333;6083;5745;5697;7053;7122;5412;6295;6819;6847;8809;7175;6468
3101607;Alfenas (MG);37455;37492;74039;38735;82734;51445;72930;66399;82593;118465;92714;84798;86349;94876;171088;112695;149772
3101631;Alfredo Vasconcelos (MG);3935;4555;5872;5954;5788;6707;7082;8812;11368;14025;16639;21644;23375;24279;29942;18115;19177
