schema;tabela;linhas;Quantidade de linhas;quantidade de colunas;instancias duplicadas
mpf_simba;amostra_dados_cadastrais;23876;23876;17;0
mpf_simba;amostra_extrato_detalhado;1182933;1182933;28;0
mpf_sittel;assinante;5274;5274;15;0
mpf_sittel;chamada;376795;376795;30;0
mpf_radar;cnpj;9999;9999;34;0
mpf_riff;comunicacoes;46;46;20;0
mpf_riff;envolvidos;666;666;12;0
mpf_sittel;erb;8650;8650;17;0
mpf_sittel;instalacao;8616;8616;16;0
mpf_sittel;monitoramento;104;104;18;0
mpf_riff;ocorrencias;98;98;4;0
mpf_radar;rd_adapec_prod_rurais;9999;9999;16;0
mpf_radar;rd_adapec_ta;9999;9999;26;0
mpf_radar;rd_agente;9999;9999;10;0
mpf_radar;rd_alesc_contratos;4770;4770;13;0
mpf_radar;rd_ana_outorgas_emitidas;9999;9999;19;0
mpf_radar;rd_anac_sisant;9999;9999;17;0
mpf_radar;rd_anm_barragens;1035;1035;13;0
mpf_radar;rd_antt_rntrc;9999;9999;17;0
mpf_radar;rd_antt_rntrc_veic;9999;9999;21;0
mpf_radar;rd_bacen;7704;7704;5;0
mpf_radar;rd_bens_cand;9999;9999;11;0
mpf_radar;rd_bndes_oper;9079;9079;8;0
mpf_radar;rd_bolsa;9999;9999;11;0
mpf_radar;rd_brk_consumidores;9999;9999;23;0
mpf_radar;rd_cadunico;9999;9999;22;0
mpf_radar;rd_caern_consumidores_rn;9999;9999;21;0
mpf_radar;rd_cafir;9999;9999;22;0
mpf_radar;rd_cam_desp_ceap;9999;9999;36;0
mpf_radar;rd_cam_serv;9999;9999;11;0
mpf_radar;rd_cam_visitas;9999;9999;8;0
mpf_radar;rd_cartorios;9999;9999;7;0
mpf_radar;rd_cea_consumidores_ap;9999;9999;66;0
mpf_radar;rd_cef_contratos;2546;2546;7;0
mpf_radar;rd_cef_est;9272;9272;5;0
mpf_radar;rd_cef_func;9999;9999;8;0
mpf_radar;rd_cegas_ce;1022;1022;16;0
mpf_radar;rd_cge_go_contratados;9999;9999;15;0
mpf_radar;rd_cge_pr_pagtos;9999;9999;11;0
mpf_radar;rd_cgu_acord_leni;649;649;14;0
mpf_radar;rd_cgu_auditoria;6392;6392;8;0
mpf_radar;rd_cgu_bem;9999;9999;12;0
mpf_radar;rd_cgu_bpc;9999;9999;23;0
mpf_radar;rd_cgu_ceaf;9999;9999;17;0
mpf_radar;rd_cgu_ceis;9999;9999;28;0
mpf_radar;rd_cgu_cepim;9999;9999;8;0
mpf_radar;rd_cgu_cnep;493;493;25;0
mpf_radar;rd_cgu_cpdc;9999;9999;28;0
mpf_radar;rd_cgu_cpgf;9999;9999;12;0
mpf_radar;rd_cgu_cruzamento_mandado_prisao;9999;9999;56;0
mpf_radar;rd_cgu_dir_empr;1706;1706;11;0
mpf_radar;rd_cgu_dpf;9999;9999;7;0
mpf_radar;rd_cgu_garantiasafra;9999;9999;10;0
mpf_radar;rd_cgu_pagto;9999;9999;7;0
mpf_radar;rd_cgu_pescador;9999;9999;15;0
mpf_radar;rd_cgu_peti;9999;9999;11;0
mpf_radar;rd_cgu_serv_militar;9999;9999;89;0
mpf_radar;rd_cgu_transferencias;9999;9999;29;0
mpf_radar;rd_cgu_viagens;9999;9999;60;0
mpf_radar;rd_cgu_viagens_viagem;9999;9999;25;0
mpf_radar;rd_cjf_serv;266;266;10;0
mpf_radar;rd_cldf_req_2006;315;315;7;0
mpf_radar;rd_cldf_serv_2005;3893;3893;7;0
mpf_radar;rd_cncia;9999;9999;5;0
mpf_radar;rd_cnj;256;256;5;0
mpf_radar;rd_cnj_bnmp;9999;9999;21;0
mpf_radar;rd_cnj_prisao_improb;1000;1000;8;0
mpf_radar;rd_cnpj_contador;9999;9999;15;0
mpf_radar;rd_cnpj_sucessao;9999;9999;9;0
mpf_radar;rd_conab_cana;9999;9999;8;0
mpf_radar;rd_contratacoes_covid;9999;9999;31;0
mpf_radar;rd_cosern_consumidores_rn;9999;9999;13;0
mpf_radar;rd_cota_senado;9999;9999;9;1
mpf_radar;rd_cpf;9999;9999;32;0
mpf_radar;rd_crc_ac;1446;1446;10;0
mpf_radar;rd_crc_rr;943;943;9;0
mpf_radar;rd_crea_al;9999;9999;17;0
mpf_radar;rd_crea_empr_al;6748;6748;19;0
mpf_radar;rd_crea_pe;9999;9999;5;0
mpf_radar;rd_crea_prof_pe;9999;9999;6;0
mpf_radar;rd_credo_uniao;9999;9999;5;0
mpf_radar;rd_ctas_reb;6438;6438;8;0
mpf_radar;rd_ctas_sigef_titulacao_incra;9999;9999;23;0
mpf_radar;rd_desp_cand;9999;9999;12;3
mpf_radar;rd_desp_comite;9999;9999;10;0
mpf_radar;rd_desp_partido;9999;9999;11;144
mpf_radar;rd_dnpm_processos;9999;9999;11;0
mpf_radar;rd_doi;9999;9999;16;0
mpf_radar;rd_ect_contratos;737;737;7;0
mpf_radar;rd_ect_est;9999;9999;5;0
mpf_radar;rd_ect_func;9999;9999;6;0
mpf_radar;rd_ect_pag;9999;9999;8;0
mpf_radar;rd_ect_sigec;4441;4441;8;0
mpf_radar;rd_ect_siges;9999;9999;7;0
mpf_radar;rd_ect_visitas;9999;9999;8;0
mpf_radar;rd_eletrobras_ac_2018;9999;9999;10;0
mpf_radar;rd_ficha_suja;9999;9999;43;0
mpf_radar;rd_fnde;9999;9999;10;0
mpf_radar;rd_gdf_contratos_seplag;9999;9999;13;0
mpf_radar;rd_gdf_seplag_entprv;3609;3609;7;0
mpf_radar;rd_gdf_serv;9999;9999;10;0
mpf_radar;rd_ibama_sisprof;1241;1241;7;0
mpf_radar;rd_incra;9999;9999;27;0
mpf_radar;rd_instru;9999;9999;9;0
mpf_radar;rd_integra_arp;9999;9999;5;0
mpf_radar;rd_integra_caetes;9999;9999;10;0
mpf_radar;rd_integra_gap;9999;9999;7;0
mpf_radar;rd_integra_scp;9999;9999;6;0
mpf_radar;rd_iptu_prefeitura_sp;9999;9999;18;0
mpf_radar;rd_jfrs;9999;9999;17;0
mpf_radar;rd_juntas_comerciais;9999;9999;17;0
mpf_radar;rd_licit_gov_go_2005_2012;9999;9999;10;0
mpf_radar;rd_licitantes_ba;9999;9999;12;0
mpf_radar;rd_licitantes_sc;9999;9999;42;0
mpf_radar;rd_ma_sisbov;76;76;16;0
mpf_radar;rd_marinha_cadastro_pessoal_amador;9999;9999;22;0
mpf_radar;rd_mb_aqua;9999;9999;25;0
mpf_radar;rd_mb_embarcacoes;9999;9999;38;0
mpf_radar;rd_medico;9999;9999;9;0
mpf_radar;rd_mf_pep;9999;9999;12;0
mpf_radar;rd_mj_depen_advo;9999;9999;11;0
mpf_radar;rd_mj_depen_visitas;9999;9999;15;0
mpf_radar;rd_mj_procurados;23;23;11;0
mpf_radar;rd_mma_bolsa_verde;9999;9999;7;0
mpf_radar;rd_mortalidade;9999;9999;9;0
mpf_radar;rd_ms_sismob;9999;9999;29;0
mpf_radar;rd_mtur_cadastro_ativos;2294;2294;19;0
mpf_radar;rd_nascidos;9999;9999;8;0
mpf_radar;rd_offshores;9999;9999;9;0
mpf_radar;rd_pa_gta;9999;9999;38;0
mpf_radar;rd_pa_prop_rural;9999;9999;21;0
mpf_radar;rd_pb_serv_mun;9999;9999;5;0
mpf_radar;rd_permissionarios;5321;5321;8;0
mpf_radar;rd_petro_contr;9999;9999;10;0
mpf_radar;rd_pmc_despesas;3485;3485;18;0
mpf_radar;rd_pmrb_contribuintes_ativos;9999;9999;10;0
mpf_radar;rd_prefeitura;5569;5569;7;0
mpf_radar;rd_prefsp_compras_licit;9999;9999;18;0
mpf_radar;rd_prereb;2389;2389;7;0
mpf_radar;rd_prod_agrop_al;9999;9999;27;0
mpf_radar;rd_profis;9999;9999;9;0
mpf_radar;rd_radios_comerciais;9999;9999;12;0
mpf_radar;rd_radios_comunitarias;9999;9999;12;0
mpf_radar;rd_rais_consolidada;9999;9999;5;0
mpf_radar;rd_receita_cand;9999;9999;16;0
mpf_radar;rd_receita_comite;9999;9999;10;0
mpf_radar;rd_receita_partido;9999;9999;13;0
mpf_radar;rd_rfb_cno;9999;9999;30;0
mpf_radar;rd_se_crea_anot_resp_tec;9999;9999;22;0
mpf_radar;rd_se_crea_empr;9999;9999;16;0
mpf_radar;rd_se_crea_prof;9999;9999;21;0
mpf_radar;rd_se_energisa;9999;9999;29;0
mpf_radar;rd_sefaz_imoveis_sp_rp;9999;9999;12;0
mpf_radar;rd_serv_cam;9999;9999;6;0
mpf_radar;rd_serv_cam_lota;9999;9999;7;0
mpf_radar;rd_serv_pub_ce;9999;9999;7;0
mpf_radar;rd_serv_pub_poa;9999;9999;26;0
mpf_radar;rd_serv_pub_ro;9999;9999;13;0
mpf_radar;rd_serv_pub_rs;9999;9999;10;0
mpf_radar;rd_serv_pub_sp;9999;9999;12;0
mpf_radar;rd_serv_sen;9999;9999;7;0
mpf_radar;rd_serv_sen_lota;9999;9999;6;0
mpf_radar;rd_servidores_municipais;9999;9999;7;0
mpf_radar;rd_sigef_certificadas_incra;9999;9999;26;0
mpf_radar;rd_sigef_credenciados_incra;9999;9999;8;0
mpf_radar;rd_simco_colaborador;42;42;34;0
mpf_radar;rd_sisdepen;9999;9999;24;0
mpf_radar;rd_sp_dae_bauru;9999;9999;12;0
mpf_radar;rd_spf;9999;9999;11;0
mpf_radar;rd_spf_benef;9999;9999;9;0
mpf_radar;rd_spf_internos;4423;4423;29;0
mpf_radar;rd_sus_estab;9999;9999;57;0
mpf_radar;rd_sus_prof;9999;9999;17;0
mpf_radar;rd_tcdf_responsaveis_contas_irregulares;1039;1039;7;0
mpf_radar;rd_tce_ce_folha_mun;9999;9999;19;0
mpf_radar;rd_tce_emp_pb;9999;9999;23;0
mpf_radar;rd_tce_emp_pi;9999;9999;12;0
mpf_radar;rd_tce_mg_aposentados;9999;9999;20;0
mpf_radar;rd_tce_mg_pensionistas;9999;9999;22;0
mpf_radar;rd_tce_mg_servidores;9999;9999;25;0
mpf_radar;rd_tce_pb;9999;9999;9;0
mpf_radar;rd_tce_pb_municipal;9999;9999;10;0
