,Votos,Deputado,Partido,Estado,Imagem
0,Arthur Lira,Chiquinho Brazão ,Avante,RJ,https://arte.estadao.com.br/public/placar/img/voter/204476.jpg
1,Arthur Lira,Greyce Elias ,Avante,MG,https://arte.estadao.com.br/public/placar/img/voter/198197.jpg
2,Arthur Lira,Leda Sadala ,Avante,AP,https://arte.estadao.com.br/public/placar/img/voter/204375.jpg
3,Arthur Lira,Luis Tibé ,Avante,MG,https://arte.estadao.com.br/public/placar/img/voter/160510.jpg
4,Arthur Lira,Sebastião Oliveira ,Avante,PE,https://arte.estadao.com.br/public/placar/img/voter/178921.jpg
5,Arthur Lira,Tito ,Avante,BA,https://arte.estadao.com.br/public/placar/img/voter/197438.jpg
6,Arthur Lira,Alan Rick ,DEM,AC,https://arte.estadao.com.br/public/placar/img/voter/178836.jpg
7,Arthur Lira,Arthur Oliveira Maia ,DEM,BA,https://arte.estadao.com.br/public/placar/img/voter/160600.jpg
8,Arthur Lira,Carlos Henrique Gaguim ,DEM,TO,https://arte.estadao.com.br/public/placar/img/voter/178993.jpg
9,Arthur Lira,David Soares ,DEM,SP,https://arte.estadao.com.br/public/placar/img/voter/204511.jpg
10,Arthur Lira,Dr. Zacharias Calil ,DEM,GO,https://arte.estadao.com.br/public/placar/img/voter/204412.jpg
11,Arthur Lira,Elmar Nascimento ,DEM,BA,https://arte.estadao.com.br/public/placar/img/voter/178854.jpg
12,Arthur Lira,Leur Lomanto Júnior ,DEM,BA,https://arte.estadao.com.br/public/placar/img/voter/92102.jpg
13,Arthur Lira,Luis Miranda ,DEM,DF,https://arte.estadao.com.br/public/placar/img/voter/204381.jpg
14,Arthur Lira,Norma Ayub ,DEM,ES,https://arte.estadao.com.br/public/placar/img/voter/66179.jpg
15,Arthur Lira,Onyx Lorenzoni ,DEM,RS,https://arte.estadao.com.br/public/placar/img/voter/74399.jpg
16,Arthur Lira,Pedro Lupion ,DEM,PR,https://arte.estadao.com.br/public/placar/img/voter/204395.jpg
17,Arthur Lira,Tereza Cristina ,DEM,MS,https://arte.estadao.com.br/public/placar/img/voter/178901.jpg
18,Arthur Lira,Daniela do Waguinho ,MDB,RJ,https://arte.estadao.com.br/public/placar/img/voter/204459.jpg
19,Arthur Lira,Osmar Terra ,MDB,RS,https://arte.estadao.com.br/public/placar/img/voter/73692.jpg
20,Arthur Lira,Alcides Rodrigues ,Patriota,GO,https://arte.estadao.com.br/public/placar/img/voter/204413.jpg
21,Arthur Lira,Dr. Frederico ,Patriota,MG,https://arte.estadao.com.br/public/placar/img/voter/204518.jpg
22,Arthur Lira,Fred Costa ,Patriota,MG,https://arte.estadao.com.br/public/placar/img/voter/204494.jpg
23,Arthur Lira,Marreca Filho ,Patriota,MA,https://arte.estadao.com.br/public/placar/img/voter/204566.jpg
24,Arthur Lira,Pastor Eurico ,Patriota,PE,https://arte.estadao.com.br/public/placar/img/voter/160642.jpg
25,Arthur Lira,Roman ,Patriota,PR,https://arte.estadao.com.br/public/placar/img/voter/178930.jpg
26,Arthur Lira,Gil Cutrim ,PDT,MA,https://arte.estadao.com.br/public/placar/img/voter/204575.jpg
27,Arthur Lira,Abílio Santana ,PL,BA,https://arte.estadao.com.br/public/placar/img/voter/204554.jpg
28,Arthur Lira,Aelton Freitas ,PL,MG,https://arte.estadao.com.br/public/placar/img/voter/141372.jpg
29,Arthur Lira,Altineu Côrtes ,PL,RJ,https://arte.estadao.com.br/public/placar/img/voter/178937.jpg
30,Arthur Lira,Bosco Costa ,PL,SE,https://arte.estadao.com.br/public/placar/img/voter/74052.jpg
31,Arthur Lira,Capitão Augusto ,PL,SP,https://arte.estadao.com.br/public/placar/img/voter/178829.jpg
32,Arthur Lira,Capitão Fábio Abreu ,PL,PI,https://arte.estadao.com.br/public/placar/img/voter/178924.jpg
33,Arthur Lira,Cristiano Vale ,PL,PA,https://arte.estadao.com.br/public/placar/img/voter/135054.jpg
34,Arthur Lira,Dr. Jaziel ,PL,CE,https://arte.estadao.com.br/public/placar/img/voter/204481.jpg
35,Arthur Lira,Edio Lopes ,PL,RR,https://arte.estadao.com.br/public/placar/img/voter/141417.jpg
36,Arthur Lira,Fernando Rodolfo ,PL,PE,https://arte.estadao.com.br/public/placar/img/voter/204427.jpg
37,Arthur Lira,Flávia Arruda ,PL,DF,https://arte.estadao.com.br/public/placar/img/voter/204354.jpg
38,Arthur Lira,Gelson Azevedo ,PL,RJ,https://arte.estadao.com.br/public/placar/img/voter/115746.jpg
39,Arthur Lira,Giacobo ,PL,PR,https://arte.estadao.com.br/public/placar/img/voter/74383.jpg
40,Arthur Lira,Giovani Cherini ,PL,RS,https://arte.estadao.com.br/public/placar/img/voter/160673.jpg
41,Arthur Lira,João Carlos Bacelar ,PL,BA,https://arte.estadao.com.br/public/placar/img/voter/141458.jpg
42,Arthur Lira,João Maia ,PL,RN,https://arte.estadao.com.br/public/placar/img/voter/141459.jpg
43,Arthur Lira,Jorge Goetten ,PL,SC,https://arte.estadao.com.br/public/placar/img/voter/214694.jpg
44,Arthur Lira,José Rocha ,PL,BA,https://arte.estadao.com.br/public/placar/img/voter/74554.jpg
45,Arthur Lira,Júnior Mano ,PL,CE,https://arte.estadao.com.br/public/placar/img/voter/204550.jpg
46,Arthur Lira,Lincoln Portela ,PL,MG,https://arte.estadao.com.br/public/placar/img/voter/74585.jpg
47,Arthur Lira,Luiz Carlos Motta ,PL,SP,https://arte.estadao.com.br/public/placar/img/voter/204485.jpg
48,Arthur Lira,Luiz Nishimori ,PL,PR,https://arte.estadao.com.br/public/placar/img/voter/162332.jpg
49,Arthur Lira,Magda Mofatto ,PL,GO,https://arte.estadao.com.br/public/placar/img/voter/166402.jpg
50,Arthur Lira,Marcelo Ramos ,PL,AM,https://arte.estadao.com.br/public/placar/img/voter/204556.jpg
51,Arthur Lira,Marcio Alvino ,PL,SP,https://arte.estadao.com.br/public/placar/img/voter/178983.jpg
52,Arthur Lira,Miguel Lombardi ,PL,SP,https://arte.estadao.com.br/public/placar/img/voter/178985.jpg
53,Arthur Lira,Pastor Gil ,PL,MA,https://arte.estadao.com.br/public/placar/img/voter/204570.jpg
54,Arthur Lira,Policial Katia Sastre ,PL,SP,https://arte.estadao.com.br/public/placar/img/voter/204529.jpg
55,Arthur Lira,Raimundo Costa ,PL,BA,https://arte.estadao.com.br/public/placar/img/voter/204567.jpg
56,Arthur Lira,Sergio Toledo ,PL,AL,https://arte.estadao.com.br/public/placar/img/voter/204438.jpg
57,Arthur Lira,Soraya Santos ,PL,RJ,https://arte.estadao.com.br/public/placar/img/voter/178946.jpg
58,Arthur Lira,Valdevan Noventa ,PL,SE,https://arte.estadao.com.br/public/placar/img/voter/204385.jpg
59,Arthur Lira,Vicentinho Júnior ,PL,TO,https://arte.estadao.com.br/public/placar/img/voter/137070.jpg
60,Arthur Lira,Vinicius Gurgel ,PL,AP,https://arte.estadao.com.br/public/placar/img/voter/160591.jpg
61,Arthur Lira,Wellington Roberto ,PL,PB,https://arte.estadao.com.br/public/placar/img/voter/74043.jpg
62,Arthur Lira,Zé Vitor ,PL,MG,https://arte.estadao.com.br/public/placar/img/voter/204517.jpg
63,Arthur Lira,Bacelar ,PODE,BA,https://arte.estadao.com.br/public/placar/img/voter/69871.jpg
64,Arthur Lira,Diego Garcia ,PODE,PR,https://arte.estadao.com.br/public/placar/img/voter/178929.jpg
65,Arthur Lira,José Medeiros ,PODE,MT,https://arte.estadao.com.br/public/placar/img/voter/204472.jpg
66,Arthur Lira,José Nelto ,PODE,GO,https://arte.estadao.com.br/public/placar/img/voter/204391.jpg
67,Arthur Lira,Renata Abreu ,PODE,SP,https://arte.estadao.com.br/public/placar/img/voter/178989.jpg
68,Arthur Lira,Ricardo Teobaldo ,PODE,PE,https://arte.estadao.com.br/public/placar/img/voter/178920.jpg
69,Arthur Lira,Roberto de Lucena ,PODE,SP,https://arte.estadao.com.br/public/placar/img/voter/160653.jpg
70,Arthur Lira,Adriano do Baldy ,PP,GO,https://arte.estadao.com.br/public/placar/img/voter/121948.jpg
71,Arthur Lira,Afonso Hamm ,PP,RS,https://arte.estadao.com.br/public/placar/img/voter/136811.jpg
72,Arthur Lira,AJ Albuquerque ,PP,CE,https://arte.estadao.com.br/public/placar/img/voter/204549.jpg
